Species;Height_gen;Height_veg;Height_veg&gen;LDMC;Leaf_area;Leaf_area1;Leaf_area2;Leaf_area3;Leaf_area4;Leaf_area5;Leaf_area6;Leaf_area7;Leaf_dry_mass;Leaf_fresh_mass;Leaf_length;Leaf_mass;Leaf_width;LeafArBRIT6CLASSFACTORIAL;Seed_dry_mass;Seed_number_per_inflorescence;Seed_number_per_plant;Seed_number_per_plant_BRIT5CLASSFACTORIAL;Seedmass;SLA;SLA1;SLA2;SLA3;SLA4;SLA5;sum_all_traits;Height_Grouped;Leaf_Grouped;Seed_Grouped;sum_Grouped;Height_veg_Selected;LDMC_Selected;Leaf_area_Selected;Leaf_dry_mass_Selected;Seed_dry_mass_Selected;Seed_number_per_plant_Selected;SLA2_Selected;sum_Selected
Acer platanoides;1;1;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;1;0;1;1;1;1;1;23;1;1;1;3;1;1;1;1;1;1;1;7
Achillea millefolium;1;1;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;27;1;1;1;3;1;1;1;1;1;1;1;7
Acinos arvensis;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;6;1;1;1;3;0;1;1;0;0;1;0;3
Aconitum septentrionale;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Actaea spicata;1;1;1;1;1;1;0;0;1;1;0;0;1;1;0;1;0;0;1;1;1;0;1;0;1;1;0;1;0;18;1;1;1;3;1;1;1;1;1;1;1;7
Adoxa moschatellina;1;1;1;1;1;1;0;0;0;0;0;0;1;0;0;1;0;1;1;1;1;0;1;0;1;0;0;0;0;14;1;1;1;3;1;1;1;1;1;1;0;6
Aethusa cynapium;1;1;1;1;1;1;0;0;1;0;0;0;1;0;0;1;0;0;1;1;1;0;1;0;1;1;0;0;0;15;1;1;1;3;1;1;1;1;1;1;1;7
Agrimonia eupatoria;1;1;1;1;1;1;1;0;0;0;0;0;1;0;0;1;0;1;1;1;1;0;1;0;1;1;1;1;1;19;1;1;1;3;1;1;1;1;1;1;1;7
Agrimonia procera;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;6;1;1;1;3;0;1;1;0;0;1;0;3
Agrostis arundinacea;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Agrostis canescens;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Agrostis canina;1;1;1;1;1;1;0;0;0;0;0;0;1;0;0;1;0;1;1;1;1;0;1;0;1;1;0;0;0;15;1;1;1;3;1;1;1;1;1;1;1;7
Agrostis capillaris;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;0;1;1;1;1;0;1;1;1;1;1;1;0;24;1;1;1;3;1;1;1;1;1;1;1;7
Agrostis chalybaea;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Agrostis epigejos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Agrostis gigantea;1;1;1;1;1;1;0;0;1;1;0;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0;1;0;22;1;1;1;3;1;1;1;1;1;1;1;7
Agrostis lapponica;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Agrostis mertensii;1;1;1;1;1;1;0;0;1;0;0;0;1;1;1;1;1;0;1;1;1;0;1;1;0;1;0;0;0;18;1;1;1;3;1;1;1;1;1;1;1;7
Agrostis neglecta;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Agrostis phragmitoides;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Agrostis stolonifera;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Agrostis vinealis;1;1;1;1;1;1;0;0;1;1;0;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;0;22;1;1;1;3;1;1;1;1;1;1;1;7
Aira caryophyllea;1;1;1;1;1;1;0;0;0;1;0;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0;0;0;20;1;1;1;3;1;1;1;1;1;1;1;7
Aira praecox;1;1;1;1;1;1;0;0;1;1;0;0;1;0;0;1;0;1;1;1;1;0;1;0;1;1;0;0;0;17;1;1;1;3;1;1;1;1;1;1;1;7
Ajuga pyramidalis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ajuga reptans;1;1;1;1;1;1;0;0;1;1;0;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;23;1;1;1;3;1;1;1;1;1;1;1;7
Alchemilla alpina;1;1;1;1;1;1;0;0;1;0;0;0;1;0;0;1;0;1;1;1;1;0;1;1;1;1;1;0;0;18;1;1;1;3;1;1;1;1;1;1;1;7
Alchemilla cymatophylla;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alchemilla faeroensis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alchemilla filicaulis;0;1;1;1;1;1;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;1;1;1;1;0;0;0;12;1;1;1;3;1;1;1;1;1;0;1;6
Alchemilla glabra;1;1;1;1;1;1;0;0;1;0;0;0;1;0;0;1;0;0;1;1;1;0;1;0;1;1;0;0;0;15;1;1;1;3;1;1;1;1;1;1;1;7
