Species;Height_gen;Height_veg;Height_veg&gen;LDMC;Leaf_area;Leaf_area1;Leaf_area2;Leaf_area3;Leaf_area4;Leaf_area5;Leaf_area6;Leaf_area7;Leaf_dry_mass;Leaf_fresh_mass;Leaf_length;Leaf_mass;Leaf_width;LeafArBRIT6CLASSFACTORIAL;Seed_dry_mass;Seed_number_per_inflorescence;Seed_number_per_plant;Seed_number_per_plant_BRIT5CLASSFACTORIAL;Seedmass;SLA;SLA1;SLA2;SLA3;SLA4;SLA5;sum_all_traits;Height_Grouped;Leaf_Grouped;Seed_Grouped;sum_Grouped;Height_veg_Selected;LDMC_Selected;Leaf_area_Selected;Leaf_dry_mass_Selected;Seed_dry_mass_Selected;Seed_number_per_plant_Selected;SLA2_Selected;sum_Selected
Alchemilla glaucescens;0;1;1;1;1;1;0;0;1;1;0;0;1;1;0;1;0;0;1;1;1;0;1;0;1;1;0;0;0;16;1;1;1;3;1;1;1;1;1;1;1;7
Alchemilla glomerulans;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;4;1;0;1;2;1;0;0;0;0;1;0;2
Alchemilla micans;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alchemilla monticola;1;1;1;1;1;0;0;0;1;0;0;0;1;0;0;1;0;0;1;1;1;0;1;1;0;1;0;0;0;14;1;1;1;3;1;1;1;1;1;1;1;7
Alchemilla murbeckiana;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alchemilla norvegica;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alchemilla oleosa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alchemilla oxyodonta;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alchemilla propinqua;0;0;0;1;1;0;0;0;1;0;0;0;1;0;0;1;0;0;0;1;1;0;0;0;0;1;1;0;0;9;0;1;1;2;0;1;1;1;0;1;1;5
Alchemilla semidivisa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alchemilla subcrenata;0;1;1;1;1;1;0;0;1;0;0;0;1;0;0;1;0;0;0;1;1;0;0;0;0;1;0;0;0;11;1;1;1;3;1;1;1;1;0;1;1;6
Alchemilla subglobosa;0;0;0;1;1;0;0;0;1;0;0;0;1;0;0;1;0;0;0;1;1;0;0;0;0;1;0;0;0;8;0;1;1;2;0;1;1;1;0;1;1;5
Alchemilla taernaensis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alchemilla vestita;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alchemilla vulgaris;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alchemilla wichurae;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;1;1;0;0;0;0;0;0;1
Alchemilla xanthochlora;1;1;1;1;1;1;0;0;1;0;0;0;1;1;0;1;0;0;1;1;1;0;1;1;1;1;1;0;0;18;1;1;1;3;1;1;1;1;1;1;1;7
Alisma plantago-aquatica;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;6;1;1;1;3;0;1;1;0;0;1;0;3
Alliaria petiolata;1;1;1;1;1;1;0;0;0;1;0;0;1;1;0;1;0;1;1;1;1;0;1;0;1;1;0;1;0;18;1;1;1;3;1;1;1;1;1;1;1;7
Allium lusitanicum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Allium oleraceum;1;1;1;1;1;1;0;0;0;0;0;0;1;0;0;1;0;1;1;1;1;0;1;0;1;0;0;0;0;14;1;1;1;3;1;1;1;1;1;1;0;6
Allium schoenoprasum;1;1;1;1;1;0;0;0;1;1;0;0;1;0;0;1;0;1;1;1;1;0;1;0;0;1;0;0;0;15;1;1;1;3;1;1;1;1;1;1;1;7
Allium scorodoprasum;1;1;1;1;1;0;0;0;1;0;0;0;1;0;0;1;0;1;1;1;1;0;1;0;0;1;0;0;0;14;1;1;1;3;1;1;1;1;1;1;1;7
Allium ursinum;1;1;1;1;1;1;0;0;0;0;0;0;1;0;0;1;0;1;1;1;1;0;1;0;1;0;0;0;0;14;1;1;1;3;1;1;1;1;1;1;0;6
Allium vineale;1;1;1;1;1;1;0;0;0;0;1;1;1;0;0;1;0;1;1;0;0;0;1;0;1;0;0;1;0;15;1;1;1;3;1;1;1;1;1;0;0;5
Alnus glutinosa;1;1;1;1;1;1;1;0;0;1;1;1;1;0;0;0;1;1;1;0;0;1;1;0;1;1;1;1;1;21;1;1;1;3;1;1;1;1;1;0;1;6
Alnus incana;1;1;1;1;1;1;0;0;1;1;1;1;1;1;0;1;1;0;1;0;0;0;1;1;1;1;1;1;0;21;1;1;1;3;1;1;1;1;1;0;1;6
Alopecurus aequalis;1;1;1;1;1;1;0;0;0;0;0;0;1;0;0;1;0;1;1;1;1;0;1;0;1;0;0;0;0;14;1;1;1;3;1;1;1;1;1;1;0;6
Alopecurus arundinaceus;1;1;1;1;1;1;0;0;0;0;0;0;1;0;1;1;1;1;1;1;1;0;1;0;1;1;0;1;0;18;1;1;1;3;1;1;1;1;1;1;1;7
Alopecurus pratensis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ammophila arenaria;1;1;1;1;1;1;0;0;0;1;0;0;1;0;0;1;0;1;1;1;1;0;1;0;1;1;0;1;0;17;1;1;1;3;1;1;1;1;1;1;1;7
Anacamptis morio;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;5;1;1;1;3;0;1;1;0;0;1;0;3
Anagallis minima;1;1;1;1;1;0;0;0;1;0;0;0;1;0;0;1;0;1;1;1;1;1;1;0;0;1;0;0;0;15;1;1;1;3;1;1;1;1;1;1;1;7
Andromeda polifolia;1;1;1;1;1;1;0;0;1;0;1;1;1;1;0;1;0;1;1;0;0;0;1;1;1;1;1;1;0;20;1;1;1;3;1;1;1;1;1;0;1;6
Androsace septentrionalis;1;1;1;1;1;0;1;1;1;1;0;0;1;0;0;1;0;0;1;1;1;0;1;0;1;1;1;0;0;18;1;1;1;3;1;1;1;1;1;1;1;7
Anemone nemorosa;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;6;1;1;1;3;0;1;1;0;0;1;0;3
Anemone ranunculoides;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;6;1;1;1;3;0;1;1;0;0;1;0;3
Angelica archangelica;1;1;1;1;1;1;0;0;1;1;0;0;1;0;0;1;0;1;1;1;1;0;1;1;1;1;0;0;0;18;1;1;1;3;1;1;1;1;1;1;1;7
Angelica sylvestris;1;1;1;1;1;1;0;0;0;1;1;1;1;1;0;1;0;1;1;1;1;0;1;0;1;1;1;0;0;20;1;1;1;3;1;1;1;1;1;1;1;7
Anisantha sterilis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Anisantha tectorum;1;1;1;1;1;1;0;0;0;1;0;0;1;1;0;1;0;1;1;1;1;0;1;0;1;1;1;1;0;19;1;1;1;3;1;1;1;1;1;1;1;7
Antennaria alpina;0;1;0;1;1;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;8;1;1;0;2;1;1;1;1;0;0;0;4
Antennaria dioica;1;1;1;1;1;1;0;0;0;1;1;1;1;1;0;1;0;1;1;1;1;0;1;1;1;1;1;1;0;22;1;1;1;3;1;1;1;1;1;1;1;7
Antennaria lapponica;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Antennaria nordhageniana;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Antennaria villifera;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Anthericum ramosum;1;1;1;1;1;0;1;0;1;1;0;0;1;1;0;1;0;0;1;1;1;0;1;0;0;1;1;0;0;17;1;1;1;3;1;1;1;1;1;1;1;7
Anthoxanthum nipponicum;0;0;1;1;1;0;0;0;0;1;0;0;1;1;0;1;0;0;0;0;1;0;1;0;0;1;0;0;0;10;1;1;1;3;0;1;1;1;0;1;1;5
Anthoxanthum odoratum;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;25;1;1;1;3;1;1;1;1;1;1;1;7
Anthriscus sylvestris;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;25;1;1;1;3;1;1;1;1;1;1;1;7
Anthyllis vulneraria;1;1;1;1;1;1;0;0;0;1;0;0;1;1;0;1;0;0;1;1;1;1;1;1;1;1;0;1;0;19;1;1;1;3;1;1;1;1;1;1;1;7
Aphanes australis;1;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;1;1;1;0;0;0;1;1;0;0;0;10;1;1;1;3;1;0;0;1;1;1;1;5
Arabidopsis petraea;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Arabidopsis thaliana;1;1;1;1;1;1;0;0;0;1;0;0;1;1;0;1;0;1;1;1;1;1;1;0;1;1;0;0;1;19;1;1;1;3;1;1;1;1;1;1;1;7
Arabis alpina;1;1;1;1;1;0;0;0;0;1;0;0;1;1;0;0;0;0;1;0;0;0;1;1;1;1;1;0;0;14;1;1;1;3;1;1;1;1;1;0;1;6
Arabis hirsuta;1;1;1;1;1;1;1;0;0;1;0;0;1;1;0;1;0;1;1;1;1;0;1;0;1;1;1;0;0;19;1;1;1;3;1;1;1;1;1;1;1;7
Arctagrostis latifolia;1;1;1;1;1;0;0;0;0;0;0;0;1;1;0;0;1;0;1;0;0;0;0;1;1;0;1;0;0;12;1;1;1;3;1;1;1;1;1;0;0;5
Arctium minus;1;1;1;1;1;1;0;0;0;1;0;0;1;1;0;1;0;1;1;1;1;1;1;0;1;1;0;0;0;18;1;1;1;3;1;1;1;1;1;1;1;7
Arctium nemorosum;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;7;1;1;1;3;1;0;1;0;1;0;0;3
Arctophila fulva;0;1;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;5;1;1;0;2;1;0;1;1;0;0;0;3
Arctostaphylos uva-ursi;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;8;1;1;1;3;1;1;1;0;1;0;0;4
Arctous alpinus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Arenaria humifusa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Arenaria norvegica;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;4;1;0;1;2;1;0;0;0;1;0;0;2
Arenaria pseudofrigida;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;4;1;1;0;2;1;0;1;1;0;0;0;3
Arenaria serpyllifolia;1;1;1;1;1;1;0;0;1;1;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;0;24;1;1;1;3;1;1;1;1;1;1;1;7
Aristavena setacea;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Armeria maritima;1;1;1;1;0;0;0;1;1;0;0;0;1;0;0;1;0;1;1;1;1;0;1;0;1;1;0;1;0;16;1;1;1;3;1;1;0;1;1;1;1;6
Armeria scabra;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;1
Arnica angustifolia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;2;0;0;1;1;0;0;0;0;0;1;0;1
Arnica montana;1;1;1;1;1;0;0;0;1;1;0;0;1;1;0;1;0;0;1;1;1;0;1;1;1;1;1;0;0;18;1;1;1;3;1;1;1;1;1;1;1;7
Arrhenatherum elatius;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;0;1;0;22;1;1;1;3;1;1;1;1;1;1;1;7
Artemisia campestris;1;1;1;1;1;1;0;1;1;1;0;0;1;1;0;1;0;0;1;1;1;0;1;0;1;1;0;0;0;18;1;1;1;3;1;1;1;1;1;1;1;7
Artemisia maritima;1;1;1;1;1;0;0;0;1;0;0;0;1;0;0;1;0;0;1;1;1;0;1;0;0;1;0;0;0;13;1;1;1;3;1;1;1;1;1;1;1;7
Artemisia norvegica;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;1
Artemisia vulgaris;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1;1;0;1;1;1;1;0;1;0;1;1;1;0;0;21;1;1;1;3;1;1;1;1;1;1;1;7
Asperula tinctoria;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;1;0;0;0;0;0;0;7;1;1;1;3;0;1;1;0;1;1;0;4
Asplenium adiantum-nigrum;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;1;1;0;0;0;0;0;0;1
Asplenium adulterinum;1;1;1;1;1;1;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;10;1;1;0;2;1;1;1;1;0;0;0;4
Asplenium marinum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Asplenium ruta-muraria;1;1;1;1;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;9;1;1;0;2;1;1;1;1;0;0;0;4
Asplenium scolopendrium;1;1;1;1;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;9;1;1;0;2;1;1;1;1;0;0;0;4
Asplenium septentrionale;1;1;1;1;1;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;9;1;1;0;2;1;1;1;1;0;0;1;5
Asplenium trichomanes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Asplenium viride;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;4;1;1;0;2;1;0;0;1;0;0;0;2
Astragalus alpinus;1;1;1;1;1;1;0;0;1;0;1;1;1;1;0;1;0;1;1;1;1;0;0;1;1;1;1;0;0;20;1;1;1;3;1;1;1;1;1;1;1;7
Astragalus frigidus;1;1;1;1;1;1;0;0;1;0;1;0;1;0;0;1;0;0;1;1;1;0;0;0;1;1;1;0;0;16;1;1;1;3;1;1;1;1;1;1;1;7
Astragalus glycyphyllos;1;1;1;1;1;1;0;0;0;0;0;0;1;0;0;1;0;1;1;1;1;0;1;0;1;1;0;0;0;15;1;1;1;3;1;1;1;1;1;1;1;7
Astragalus norvegicus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Athyrium distentifolium;1;1;1;1;1;1;0;1;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;12;1;1;0;2;1;1;1;1;0;0;1;5
Athyrium filix-femina;1;1;1;1;1;1;0;1;0;1;0;0;1;1;0;1;0;0;1;1;1;0;0;0;1;1;0;1;0;17;1;1;1;3;1;1;1;1;1;1;1;7
Atocion armeria;1;1;1;1;1;0;0;0;1;0;0;0;1;0;0;1;0;0;1;1;1;0;1;0;0;1;0;0;0;13;1;1;1;3;1;1;1;1;1;1;1;7
Atocion rupestre;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;5;1;1;1;3;0;1;1;0;0;0;0;2
Atriplex glabriuscula;1;1;1;1;1;1;0;0;1;0;0;0;1;0;0;1;0;0;1;1;1;0;1;0;1;1;0;0;0;15;1;1;1;3;1;1;1;1;1;1;1;7
Atriplex hastata;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Atriplex laciniata;1;1;1;1;1;1;0;0;1;0;0;0;1;0;0;1;0;1;1;1;1;0;1;0;1;1;0;0;0;16;1;1;1;3;1;1;1;1;1;1;1;7
Atriplex lapponica;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Atriplex littoralis;1;1;1;1;1;1;0;0;1;0;0;0;1;0;0;1;0;0;1;1;1;0;1;0;1;1;0;0;0;15;1;1;1;3;1;1;1;1;1;1;1;7
Atriplex longipes;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0
Atriplex nudicaulis;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;5;1;0;1;2;1;0;0;0;1;1;0;3
Atriplex patula;1;1;1;1;1;1;0;0;0;0;0;0;1;0;0;1;0;1;1;1;1;0;1;0;1;0;0;0;0;14;1;1;1;3;1;1;1;1;1;1;0;6
Atriplex prostrata;1;1;1;1;1;1;0;0;0;0;0;0;1;0;0;1;0;1;1;1;1;0;1;0;1;1;0;0;0;15;1;1;1;3;1;1;1;1;1;1;1;7
Avenella flexuosa;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;6;1;1;1;3;0;1;1;0;0;1;0;3
Avenula pratensis;1;1;1;1;1;1;0;0;0;1;0;0;1;0;0;1;0;1;1;1;1;1;1;0;1;1;0;0;0;17;1;1;1;3;1;1;1;1;1;1;1;7
Avenula pubescens;1;1;1;1;1;1;0;0;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;1;1;0;1;0;23;1;1;1;3;1;1;1;1;1;1;1;7
Baldellia repens;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;2;0;0;1;1;0;0;0;0;0;1;0;1
Barbarea stricta;1;1;1;1;1;0;0;0;1;0;0;0;1;0;0;1;0;0;1;1;1;0;1;0;0;1;0;0;0;13;1;1;1;3;1;1;1;1;1;1;1;7
Bartsia alpina;1;1;1;1;1;1;0;0;1;1;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;1;1;0;0;23;1;1;1;3;1;1;1;1;1;1;1;7
Bellis perennis;1;1;1;1;1;1;0;0;0;1;0;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0;1;0;21;1;1;1;3;1;1;1;1;1;1;1;7
